trial,RT,correct,response,interval,tPos,tGen,tCon1,tCon2,tNoi1,tNoi2,dPed,img,ped,pedRand,cues
1,NaN,0,NaN,2,4,1,0.25,0.25,0.26894,0.33869,0.06975,12,3,3,1
2,NaN,0,NaN,2,2,1,0.15,0.15,0.26894,0.33869,0.06975,7,3,2,1
3,NaN,0,NaN,1,2,1,0.15,0.15,0.4928,0.14805,0.34475,5,2,2,4
4,NaN,0,NaN,2,4,1,0.4,0.4,0.26894,0.40644,0.1375,9,3,4,4
5,NaN,0,NaN,2,1,2,0.15,0.15,0.26894,0.40644,0.1375,13,3,2,4
6,NaN,0,NaN,1,4,2,0.15,0.15,0.40644,0.26894,0.1375,4,3,2,4
7,NaN,0,NaN,1,4,1,0.4,0.4,0.33869,0.26894,0.06975,1,3,4,1
8,NaN,0,NaN,2,3,1,0.4,0.4,0.43782,0.55241,0.11458,1,4,4,1
9,NaN,0,NaN,1,2,1,0.15,0.15,0.4928,0.14805,0.34475,17,2,2,4
10,NaN,0,NaN,2,4,1,0.25,0.25,0.43782,0.69091,0.25308,3,4,3,4
11,NaN,0,NaN,1,2,1,0.4,0.4,0.26363,0.14805,0.11558,19,2,4,1
12,NaN,0,NaN,2,1,1,0.15,0.15,0.14805,0.26363,0.11558,17,2,2,1
13,NaN,0,NaN,2,1,2,0.15,0.15,0.26894,0.40644,0.1375,16,3,2,4
14,NaN,0,NaN,1,4,2,0.15,0.15,0.69091,0.43782,0.25308,10,4,2,4
15,NaN,0,NaN,2,4,1,0.4,0.4,0.43782,0.69091,0.25308,19,4,4,4
16,NaN,0,NaN,1,2,2,0.25,0.25,0.55241,0.43782,0.11458,3,4,3,1
17,NaN,0,NaN,2,3,2,0.25,0.25,0.26894,0.33869,0.06975,3,3,3,1
18,NaN,0,NaN,2,2,2,0.4,0.4,0.14805,0.26363,0.11558,5,2,4,1
19,NaN,0,NaN,1,2,1,0.15,0.15,0.55241,0.43782,0.11458,13,4,2,1
20,NaN,0,NaN,1,1,2,0.25,0.25,0.4928,0.14805,0.34475,1,2,3,4
21,NaN,0,NaN,2,2,1,0.15,0.15,0.43782,0.55241,0.11458,18,4,2,1
22,NaN,0,NaN,1,1,2,0.25,0.25,0.55241,0.43782,0.11458,11,4,3,1
23,NaN,0,NaN,2,3,2,0.15,0.15,0.14805,0.26363,0.11558,18,2,2,1
24,NaN,0,NaN,2,1,2,0.4,0.4,0.14805,0.26363,0.11558,17,2,4,1
25,NaN,0,NaN,1,3,2,0.4,0.4,0.4928,0.14805,0.34475,13,2,4,4
26,NaN,0,NaN,2,3,2,0.4,0.4,0.43782,0.55241,0.11458,2,4,4,1
27,NaN,0,NaN,2,2,1,0.4,0.4,0.43782,0.69091,0.25308,2,4,4,4
28,NaN,0,NaN,2,1,2,0.4,0.4,0.43782,0.55241,0.11458,20,4,4,1
29,NaN,0,NaN,2,2,1,0.25,0.25,0.26894,0.40644,0.1375,11,3,3,4
30,NaN,0,NaN,2,3,2,0.4,0.4,0.14805,0.4928,0.34475,7,2,4,4
31,NaN,0,NaN,1,2,2,0.15,0.15,0.69091,0.43782,0.25308,16,4,2,4
32,NaN,0,NaN,1,2,1,0.4,0.4,0.40644,0.26894,0.1375,2,3,4,4
33,NaN,0,NaN,1,2,2,0.15,0.15,0.4928,0.14805,0.34475,18,2,2,4
34,NaN,0,NaN,1,1,1,0.4,0.4,0.69091,0.43782,0.25308,11,4,4,4
35,NaN,0,NaN,2,3,2,0.4,0.4,0.26894,0.33869,0.06975,1,3,4,1
36,NaN,0,NaN,2,4,1,0.4,0.4,0.43782,0.69091,0.25308,17,4,4,4
37,NaN,0,NaN,1,2,1,0.25,0.25,0.4928,0.14805,0.34475,7,2,3,4
38,NaN,0,NaN,1,1,1,0.15,0.15,0.55241,0.43782,0.11458,9,4,2,1
39,NaN,0,NaN,1,1,2,0.25,0.25,0.33869,0.26894,0.06975,2,3,3,1
40,NaN,0,NaN,2,4,2,0.25,0.25,0.43782,0.55241,0.11458,7,4,3,1
41,NaN,0,NaN,1,4,1,0.4,0.4,0.33869,0.26894,0.06975,20,3,4,1
42,NaN,0,NaN,1,1,1,0.15,0.15,0.33869,0.26894,0.06975,5,3,2,1
43,NaN,0,NaN,1,3,2,0.4,0.4,0.4928,0.14805,0.34475,3,2,4,4
44,NaN,0,NaN,2,1,2,0.4,0.4,0.26894,0.40644,0.1375,11,3,4,4
45,NaN,0,NaN,2,1,1,0.25,0.25,0.14805,0.4928,0.34475,5,2,3,4
46,NaN,0,NaN,2,4,2,0.15,0.15,0.26894,0.40644,0.1375,18,3,2,4
47,NaN,0,NaN,2,1,1,0.25,0.25,0.43782,0.69091,0.25308,13,4,3,4
48,NaN,0,NaN,1,1,1,0.15,0.15,0.33869,0.26894,0.06975,8,3,2,1
49,NaN,0,NaN,2,4,1,0.25,0.25,0.26894,0.40644,0.1375,4,3,3,4
50,NaN,0,NaN,2,1,2,0.25,0.25,0.43782,0.69091,0.25308,13,4,3,4
51,NaN,0,NaN,2,1,1,0.25,0.25,0.43782,0.69091,0.25308,3,4,3,4
52,NaN,0,NaN,1,2,2,0.25,0.25,0.26363,0.14805,0.11558,6,2,3,1
53,NaN,0,NaN,2,4,1,0.25,0.25,0.26894,0.33869,0.06975,8,3,3,1
54,NaN,0,NaN,1,2,2,0.15,0.15,0.33869,0.26894,0.06975,11,3,2,1
55,NaN,0,NaN,2,1,1,0.4,0.4,0.26894,0.33869,0.06975,9,3,4,1
56,NaN,0,NaN,1,2,1,0.25,0.25,0.26363,0.14805,0.11558,17,2,3,1
57,NaN,0,NaN,2,4,2,0.15,0.15,0.43782,0.55241,0.11458,16,4,2,1
58,NaN,0,NaN,2,2,2,0.4,0.4,0.26894,0.40644,0.1375,2,3,4,4
59,NaN,0,NaN,1,2,1,0.25,0.25,0.26363,0.14805,0.11558,10,2,3,1
60,0.12494,0,8,1,3,1,0.25,0.25,0.40644,0.26894,0.1375,18,3,3,4
61,NaN,0,NaN,2,4,1,0.15,0.15,0.14805,0.4928,0.34475,4,2,2,4
62,NaN,0,NaN,1,4,1,0.25,0.25,0.4928,0.14805,0.34475,20,2,3,4
63,NaN,0,NaN,2,1,2,0.4,0.4,0.14805,0.4928,0.34475,15,2,4,4
64,NaN,0,NaN,2,3,2,0.6,NaN,0.62246,NaN,0.11558,1,2,4,1
65,NaN,0,NaN,2,3,1,0.6,NaN,0.14805,NaN,0.11558,12,2,2,1
66,NaN,0,NaN,1,2,1,0.15,0.15,0.4928,0.14805,0.25308,11,4,2,4
67,NaN,0,NaN,2,2,1,0.25,NaN,0.075858,NaN,0.1375,2,3,3,4
68,NaN,0,NaN,1,2,2,0.25,NaN,0.075858,NaN,0.11458,2,4,3,1
69,NaN,0,NaN,2,2,1,0.15,NaN,0.14805,NaN,0.11458,10,4,4,1
70,NaN,0,NaN,1,2,1,0.25,NaN,0.075858,NaN,0.25308,9,4,2,4
71,NaN,0,NaN,2,4,2,0.15,NaN,0.43782,NaN,0.11558,15,2,2,1
72,NaN,0,NaN,2,1,2,0.15,NaN,0.62246,NaN,0.11558,16,2,3,1
