trial,RT,correct,response,interval,tPos,tGen,tCon1,tCon2,tNoi1,tNoi2,dPed,img
1,0.49295,1,1,1,1,1,0.8,0.25,0.43782,0.43782,0.55,15
2,0.51054,1,1,1,1,1,0.95,0.4,0.14805,0.14805,0.55,1
3,0.41018,1,2,2,1,1,0.15,0.7,0.14805,0.14805,0.55,9
4,0.61398,1,2,2,3,2,0.4,0.95,0.26894,0.26894,0.55,7
5,0.5595,1,2,2,4,1,0.4,0.95,0.43782,0.43782,0.55,10
6,0.5232,1,2,2,4,2,0.4,0.95,0.26894,0.26894,0.55,9
7,0.54086,1,1,1,1,1,0.95,0.4,0.14805,0.14805,0.55,10
8,0.81656,1,2,2,1,1,0.4,0.76667,0.26894,0.26894,0.36667,12
9,0.54824,1,2,2,4,1,0.4,0.95,0.26894,0.26894,0.55,14
10,0.49385,1,2,2,2,1,0.15,0.7,0.26894,0.26894,0.55,17
11,0.56952,1,2,2,3,1,0.25,0.8,0.26894,0.26894,0.55,19
12,0.34117,1,2,2,1,1,0.25,0.8,0.43782,0.43782,0.55,16
13,0.92682,1,1,1,3,1,0.7,0.15,0.43782,0.43782,0.55,10
14,NaN,0,NaN,1,4,2,0.8,0.25,0.26894,0.26894,0.55,9
15,0.9662,1,1,1,2,1,0.7,0.15,0.43782,0.43782,0.55,7
16,0.52778,1,2,2,4,2,0.25,0.8,0.14805,0.14805,0.55,10
17,0.93142,1,2,2,4,2,0.15,0.7,0.26894,0.26894,0.55,18
18,0.56512,1,2,2,4,2,0.15,0.7,0.26894,0.26894,0.55,6
19,0.36873,1,2,2,2,2,0.4,0.76667,0.26894,0.26894,0.36667,19
20,0.76445,0,2,1,1,1,0.76667,0.4,0.14805,0.14805,0.36667,17
21,0.38206,1,1,1,1,1,0.76667,0.4,0.43782,0.43782,0.36667,15
22,0.33769,1,2,2,3,2,0.4,0.76667,0.26894,0.26894,0.36667,19
23,0.34941,1,2,2,1,1,0.25,0.8,0.26894,0.26894,0.55,8
