correct,RT,response,mainTrial,position,respond,SOA,sOnset,tGen,tImg
NaN,NaN,NaN,1,1,1,0.25,NaN,2,17
NaN,NaN,NaN,1,2,1,0.25,NaN,1,12
NaN,NaN,NaN,1,1,1,0.25,NaN,2,31
NaN,NaN,NaN,2,1,1,0.25,NaN,2,25
NaN,NaN,NaN,2,1,1,0.25,NaN,1,52
NaN,NaN,NaN,3,1,1,0.25,NaN,1,58
NaN,NaN,NaN,3,1,1,0.25,NaN,1,78
NaN,NaN,NaN,4,2,0,0.25,NaN,2,7
NaN,NaN,NaN,4,2,0,0.25,NaN,2,1
NaN,NaN,NaN,5,1,0,0.25,NaN,2,73
NaN,NaN,NaN,5,1,1,0.25,NaN,2,62
NaN,NaN,NaN,6,1,1,0.25,NaN,1,57
NaN,NaN,NaN,6,2,0,0.25,NaN,1,11
NaN,NaN,NaN,7,1,1,0.25,NaN,1,48
NaN,NaN,NaN,7,2,1,0.25,NaN,2,39
NaN,NaN,NaN,8,1,1,0.25,NaN,1,54
NaN,NaN,NaN,8,1,0,0.25,NaN,2,3
NaN,NaN,NaN,9,1,0,0.25,NaN,1,12
NaN,NaN,NaN,9,1,1,0.25,NaN,1,25
NaN,NaN,NaN,10,2,1,0.25,NaN,1,68
NaN,NaN,NaN,10,2,1,0.25,NaN,2,69
NaN,NaN,NaN,11,1,1,0.25,NaN,2,40
NaN,NaN,NaN,11,1,1,0.25,NaN,1,73
NaN,NaN,NaN,12,2,1,0.25,NaN,1,22
NaN,NaN,NaN,12,2,1,0.25,NaN,2,19
NaN,NaN,NaN,13,1,1,0.25,NaN,1,64
NaN,NaN,NaN,13,1,1,0.25,NaN,1,68
NaN,NaN,NaN,14,2,1,0.25,NaN,2,36
NaN,NaN,NaN,14,2,1,0.25,NaN,2,45
NaN,NaN,NaN,15,1,1,0.25,NaN,1,51
NaN,NaN,NaN,15,1,0,0.25,NaN,2,24
NaN,NaN,NaN,16,2,0,0.25,NaN,2,21
NaN,NaN,NaN,16,1,1,0.25,NaN,2,61
NaN,NaN,NaN,17,1,1,0.25,NaN,1,69
NaN,NaN,NaN,17,1,0,0.25,NaN,1,36
NaN,NaN,NaN,18,1,1,0.25,NaN,2,17
NaN,NaN,NaN,18,1,0,0.25,NaN,2,55
NaN,NaN,NaN,19,2,0,0.25,NaN,2,69
NaN,NaN,NaN,19,1,1,0.25,NaN,1,19
NaN,NaN,NaN,20,2,0,0.25,NaN,2,28
NaN,NaN,NaN,20,1,1,0.25,NaN,1,16
NaN,NaN,NaN,21,1,1,0.25,NaN,1,56
NaN,NaN,NaN,21,1,1,0.25,NaN,2,76
NaN,NaN,NaN,22,1,1,0.25,NaN,1,22
NaN,NaN,NaN,22,1,1,0.25,NaN,1,29
NaN,NaN,NaN,23,1,1,0.25,NaN,1,67
NaN,NaN,NaN,23,2,1,0.25,NaN,2,64
NaN,NaN,NaN,24,2,0,0.25,NaN,2,10
NaN,NaN,NaN,24,2,1,0.25,NaN,2,15
NaN,NaN,NaN,25,1,1,0.25,NaN,2,34
NaN,NaN,NaN,25,1,1,0.25,NaN,2,68
NaN,NaN,NaN,26,2,1,0.25,NaN,2,42
NaN,NaN,NaN,26,1,1,0.25,NaN,2,35
NaN,NaN,NaN,27,2,1,0.25,NaN,1,64
NaN,NaN,NaN,27,2,1,0.25,NaN,1,42
NaN,NaN,NaN,28,2,1,0.25,NaN,1,39
NaN,NaN,NaN,28,1,1,0.25,NaN,1,7
NaN,NaN,NaN,29,2,1,0.25,NaN,2,64
NaN,NaN,NaN,29,2,0,0.25,NaN,2,61
NaN,NaN,NaN,30,2,1,0.25,NaN,1,6
NaN,NaN,NaN,30,2,0,0.25,NaN,2,12
NaN,NaN,NaN,31,1,1,0.25,NaN,1,57
NaN,NaN,NaN,31,2,1,0.25,NaN,1,22
NaN,NaN,NaN,32,1,0,0.25,NaN,2,14
NaN,NaN,NaN,32,1,1,0.25,NaN,1,56
