correct,RT,response,mainTrial,position,respond,SOA,sOnset,tGen,tImg
1,0.68397,9,1,2,1,0.25,NaN,1,75
0,0.76282,8,1,1,0,0.25,NaN,1,50
1,0.76147,8,1,2,1,0.25,NaN,2,31
0,0.98236,8,2,1,1,0.25,NaN,1,46
1,0.60326,9,2,2,1,0.25,NaN,1,23
1,0.76413,8,3,2,1,0.25,NaN,2,20
1,0.56898,10,3,1,0,0.25,NaN,1,21
1,0.89568,9,4,2,1,0.16667,NaN,1,2
0,0.72441,8,4,1,1,0.16667,NaN,1,77
1,0.81333,8,5,2,1,0.20833,NaN,2,35
1,1.08,8,5,1,1,0.20833,NaN,2,64
1,0.75707,9,6,2,1,0.20833,NaN,1,57
1,0.69379,10,6,1,0,0.16667,NaN,1,83
1,0.82279,8,7,2,1,0.16667,NaN,2,70
1,0.78158,9,7,2,1,0.16667,NaN,1,45
1,0.78451,9,8,1,1,0.14583,NaN,1,71
1,0.74719,9,8,1,1,0.14583,NaN,1,71
1,0.82603,8,9,2,1,0.14583,NaN,2,39
1,0.74684,9,9,1,1,0.125,NaN,1,36
0,0.73771,8,10,2,1,0.125,NaN,1,41
1,0.75035,9,10,1,1,0.14583,NaN,1,15
1,0.72723,8,11,2,1,0.14583,NaN,2,46
0,0.65601,8,11,2,1,0.14583,NaN,1,9
0,0.74503,9,12,1,1,0.16667,NaN,2,21
0,0.79173,8,12,2,1,0.1875,NaN,1,28
1,0.76462,9,13,1,1,0.20833,NaN,1,59
1,0.76951,8,13,2,1,0.20833,NaN,2,48
1,0.77828,9,14,1,1,0.20833,NaN,1,86
1,0.81919,8,14,2,1,0.1875,NaN,2,8
1,0.82401,8,15,1,1,0.1875,NaN,2,7
0,0.78678,8,15,2,1,0.1875,NaN,1,53
1,0.88345,9,16,1,1,0.20833,NaN,1,7
1,0.6904,10,16,1,0,0.20833,NaN,1,75
1,0.8753,10,17,2,0,0.20833,NaN,2,52
1,0.57818,10,17,1,0,0.1875,NaN,1,79
1,0.83687,9,18,1,1,0.1875,NaN,1,15
0,0.60769,10,18,1,1,0.1875,NaN,2,25
0,0.66855,9,19,1,1,0.19792,NaN,2,33
1,0.81137,9,19,1,1,0.20833,NaN,1,70
0,0.88018,8,20,2,1,0.20833,NaN,1,7
1,0.50706,10,20,1,0,0.21875,NaN,1,57
1,0.7298,9,21,1,1,0.21875,NaN,1,18
0,0.7467,9,21,1,1,0.21875,NaN,2,21
1,0.74553,9,22,1,1,0.22917,NaN,1,43
1,0.50442,10,22,2,0,0.22917,NaN,2,27
1,0.79519,9,23,2,1,0.22917,NaN,1,80
0,0.77393,9,23,2,1,0.21875,NaN,2,56
0,0.86689,8,24,2,1,0.22917,NaN,1,4
1,0.78761,9,24,1,1,0.23958,NaN,1,3
1,0.98652,9,25,1,1,0.23958,NaN,1,75
1,0.71317,10,25,2,0,0.23958,NaN,1,58
0,0.78416,9,26,1,1,0.22917,NaN,2,37
1,0.76695,8,26,1,1,0.23958,NaN,2,69
1,0.81377,8,27,2,1,0.23958,NaN,2,28
1,0.90058,9,27,1,1,0.23958,NaN,1,71
0,0.8595,8,28,1,1,0.22917,NaN,1,74
1,0.60589,9,28,1,1,0.23958,NaN,1,35
1,0.76314,8,29,2,1,0.23958,NaN,2,6
1,0.71933,10,29,2,0,0.23958,NaN,1,21
0,0.9629,8,30,2,1,0.22917,NaN,1,44
1,0.54965,10,30,1,0,0.23438,NaN,2,38
1,0.86654,8,31,2,1,0.23438,NaN,2,17
1,0.64522,10,31,1,0,0.23438,NaN,1,35
1,1.082,8,32,1,1,0.22917,NaN,2,57
0,0.75285,9,32,2,1,0.22917,NaN,2,24
1,0.79373,9,33,2,1,0.23438,NaN,1,3
