trial,RT,correct,response,interval,tPos,tGen,tCon1,tCon2,tNoi1,tNoi2,dPed,img
1,NaN,0,NaN,2,4,1,0.4,0.4,0.26894,0.72727,0.45833,15
2,NaN,0,NaN,2,2,1,0.15,0.15,0.43782,0.71282,0.275,14
3,NaN,0,NaN,2,4,1,0.25,0.25,0.43782,0.71282,0.275,6
4,NaN,0,NaN,2,4,2,0.15,0.15,0.43782,0.43882,0.001,9
5,NaN,0,NaN,1,4,1,0.25,0.25,0.26994,0.26894,0.001,11
6,NaN,0,NaN,2,1,1,0.4,0.4,0.26894,0.26994,0.001,14
7,NaN,0,NaN,1,1,2,0.15,0.15,0.71282,0.43782,0.275,15
8,NaN,0,NaN,2,2,1,0.4,0.4,0.14805,0.14905,0.001,3
9,NaN,0,NaN,1,4,1,0.25,0.25,0.72727,0.26894,0.45833,19
10,NaN,0,NaN,1,3,1,0.15,0.15,0.72727,0.26894,0.45833,16
11,NaN,0,NaN,1,1,2,0.25,0.25,0.72727,0.26894,0.45833,7
12,NaN,0,NaN,1,3,1,0.15,0.15,0.26994,0.26894,0.001,15
13,NaN,0,NaN,1,3,2,0.4,0.4,0.14905,0.14805,0.001,6
14,NaN,0,NaN,1,3,1,0.4,0.4,0.43882,0.43782,0.001,11
15,NaN,0,NaN,1,1,2,0.15,0.15,0.14905,0.14805,0.001,18
16,NaN,0,NaN,2,2,1,0.15,0.15,0.14805,0.14905,0.001,15
17,NaN,0,NaN,1,2,1,0.4,0.4,0.72727,0.26894,0.45833,2
18,NaN,0,NaN,1,2,2,0.4,0.4,0.26994,0.26894,0.001,18
19,NaN,0,NaN,1,2,2,0.15,0.15,0.43882,0.43782,0.001,5
20,NaN,0,NaN,2,1,1,0.25,0.25,0.43782,0.71282,0.275,11
21,NaN,0,NaN,1,1,1,0.4,0.4,0.71282,0.43782,0.275,17
22,NaN,0,NaN,2,1,2,0.15,0.15,0.43782,0.71282,0.275,11
23,NaN,0,NaN,1,2,2,0.25,0.25,0.72727,0.26894,0.45833,1
24,NaN,0,NaN,2,4,2,0.25,0.25,0.14805,0.14905,0.001,19
25,NaN,0,NaN,1,2,1,0.25,0.25,0.14905,0.14805,0.001,14
26,NaN,0,NaN,2,4,1,0.15,0.15,0.14805,0.14905,0.001,12
27,NaN,0,NaN,1,4,1,0.25,0.25,0.26994,0.26894,0.001,15
28,NaN,0,NaN,1,2,1,0.4,0.4,0.26994,0.26894,0.001,9
29,NaN,0,NaN,1,2,2,0.25,0.25,0.43882,0.43782,0.001,14
30,NaN,0,NaN,1,3,1,0.25,0.25,0.43882,0.43782,0.001,13
31,NaN,0,NaN,1,3,1,0.25,0.25,0.14905,0.14805,0.001,17
32,NaN,0,NaN,1,3,2,0.25,0.25,0.14905,0.14805,0.001,8
33,NaN,0,NaN,2,2,1,0.4,0.4,0.43782,0.43882,0.001,18
34,NaN,0,NaN,2,3,2,0.25,0.25,0.14805,0.14905,0.001,3
35,NaN,0,NaN,1,4,1,0.15,0.15,0.26994,0.26894,0.001,17
36,NaN,0,NaN,2,4,2,0.4,0.4,0.14805,0.14905,0.001,18
37,NaN,0,NaN,2,1,2,0.15,0.15,0.26894,0.26994,0.001,19
38,NaN,0,NaN,2,1,2,0.15,0.15,0.43782,0.43882,0.001,7
39,NaN,0,NaN,1,1,1,0.4,0.4,0.26994,0.26894,0.001,16
40,NaN,0,NaN,1,1,2,0.15,0.15,0.14905,0.14805,0.001,17
41,NaN,0,NaN,2,2,2,0.15,0.15,0.26894,0.72727,0.45833,19
42,NaN,0,NaN,1,3,1,0.25,0.25,0.71282,0.43782,0.275,12
43,NaN,0,NaN,1,3,1,0.15,0.15,0.72727,0.26894,0.45833,17
44,NaN,0,NaN,2,4,1,0.25,0.25,0.43782,0.71282,0.275,20
45,NaN,0,NaN,2,4,1,0.15,0.15,0.14805,0.14905,0.001,5
46,NaN,0,NaN,1,1,2,0.25,0.25,0.14905,0.14805,0.001,19
47,NaN,0,NaN,1,1,2,0.4,0.4,0.72727,0.26894,0.45833,16
48,NaN,0,NaN,2,1,1,0.4,0.4,0.14805,0.14905,0.001,9
49,NaN,0,NaN,1,2,2,0.15,0.15,0.71282,0.43782,0.275,4
50,NaN,0,NaN,1,2,2,0.15,0.15,0.14905,0.14805,0.001,1
51,NaN,0,NaN,1,4,2,0.15,0.15,0.26994,0.26894,0.001,1
52,NaN,0,NaN,2,3,2,0.4,0.4,0.43782,0.43882,0.001,7
53,NaN,0,NaN,2,3,1,0.4,0.4,0.43782,0.71282,0.275,14
54,NaN,0,NaN,1,4,2,0.4,0.4,0.14905,0.14805,0.001,12
55,NaN,0,NaN,1,3,1,0.25,0.25,0.43882,0.43782,0.001,1
56,NaN,0,NaN,2,1,1,0.4,0.4,0.26894,0.72727,0.45833,18
57,NaN,0,NaN,1,2,1,0.25,0.25,0.26994,0.26894,0.001,6
58,NaN,0,NaN,1,4,1,0.4,0.4,0.14905,0.14805,0.001,10
59,NaN,0,NaN,1,2,2,0.15,0.15,0.14905,0.14805,0.001,5
60,NaN,0,NaN,2,3,2,0.25,0.25,0.26894,0.26994,0.001,12
61,NaN,0,NaN,1,1,2,0.25,0.25,0.43882,0.43782,0.001,14
62,NaN,0,NaN,2,3,2,0.25,0.25,0.14805,0.14905,0.001,18
63,NaN,0,NaN,2,3,1,0.15,0.15,0.26894,0.72727,0.45833,12
64,NaN,0,NaN,2,1,2,0.25,NaN,0.43782,NaN,0.001,8
65,NaN,0,NaN,1,2,2,0.15,0.15,0.43782,0.71282,0.001,16
66,NaN,0,NaN,2,4,1,0.25,0.25,0.43782,0.71282,0.45833,5
67,NaN,0,NaN,2,2,2,0.4,NaN,0.075858,NaN,0.001,16
