correct,RT,response,mainTrial,position,respond,SOA,sOnset,tGen,tImg
1,0.69205,8,1,1,1,0.17837,NaN,2,63
1,0.6789,9,1,1,1,0.17837,NaN,1,77
1,0.67161,8,1,1,1,0.17837,NaN,2,48
1,0.62458,8,2,1,1,0.11891,NaN,2,63
NaN,NaN,NaN,2,2,1,0.11891,NaN,2,53
NaN,NaN,NaN,3,2,1,0.11891,NaN,2,31
1,0.7051,8,3,1,1,0.11891,NaN,2,41
1,0.82186,8,4,2,1,0.11891,NaN,2,4
0,0.68659,8,4,2,1,0.059456,NaN,1,34
1,0.74147,8,5,2,1,0.11891,NaN,2,46
1,0.85818,10,5,2,0,0.11891,NaN,1,56
NaN,NaN,NaN,6,1,1,0.11891,NaN,1,25
0,0.71184,8,6,1,1,0.11891,NaN,1,51
1,0.86871,8,7,2,1,0.14864,NaN,2,40
1,0.71356,8,7,2,1,0.14864,NaN,2,35
0,0.83238,9,8,1,1,0.14864,NaN,2,57
0,0.80527,8,8,1,1,0.17837,NaN,1,76
1,0.74003,8,9,1,1,0.20809,NaN,2,6
1,0.63492,10,9,2,0,0.20809,NaN,1,39
1,0.73171,8,10,1,1,0.20809,NaN,2,71
1,0.6085,9,10,1,1,0.17837,NaN,1,35
1,0.75946,8,11,2,1,0.17837,NaN,2,51
1,0.67217,9,11,1,1,0.17837,NaN,1,16
1,0.80101,9,12,1,1,0.14864,NaN,1,78
1,0.66383,8,12,1,1,0.14864,NaN,2,4
0,0.75467,9,13,1,1,0.14864,NaN,2,20
1,0.66952,10,13,2,0,0.17837,NaN,1,76
0,0.79044,8,14,2,1,0.17837,NaN,1,45
0,0.90713,9,14,2,1,0.19323,NaN,2,52
1,0.62995,10,15,2,0,0.20809,NaN,2,20
1,0.67492,8,15,2,1,0.20809,NaN,2,3
1,0.68751,9,16,1,1,0.20809,NaN,1,33
1,0.58837,9,16,2,1,0.19323,NaN,1,71
0,0.76531,8,17,1,1,0.19323,NaN,1,29
1,0.59418,10,17,2,0,0.20809,NaN,2,65
0,0.73501,9,18,1,1,0.20809,NaN,2,45
1,0.63779,9,18,2,1,0.22296,NaN,1,44
1,0.6406,8,19,1,1,0.22296,NaN,2,14
1,0.55552,8,19,2,1,0.22296,NaN,2,31
1,0.69421,9,20,1,1,0.20809,NaN,1,72
1,0.59908,9,20,1,1,0.20809,NaN,1,28
1,0.7778,8,21,2,1,0.20809,NaN,2,26
1,0.79873,8,21,2,1,0.19323,NaN,2,33
1,0.67352,9,22,1,1,0.19323,NaN,1,69
1,0.67841,8,22,2,1,0.19323,NaN,2,26
1,0.69129,9,23,2,1,0.17837,NaN,1,38
1,0.62212,8,23,2,1,0.17837,NaN,2,28
1,0.78636,8,24,1,1,0.17837,NaN,2,65
1,0.67176,8,24,1,1,0.1635,NaN,2,55
0,0.82449,9,25,2,1,0.1635,NaN,2,26
1,0.6574,9,25,2,1,0.17837,NaN,1,61
1,0.7262,9,26,1,1,0.17837,NaN,1,5
1,0.81096,8,26,1,1,0.17837,NaN,2,25
1,0.75788,10,27,2,0,0.17093,NaN,2,37
1,0.84656,9,27,1,1,0.17093,NaN,1,38
0,0.74562,9,28,1,1,0.17093,NaN,2,36
1,0.64635,9,28,1,1,0.17837,NaN,1,18
1,0.65318,9,29,1,1,0.17837,NaN,1,48
1,0.69215,9,29,2,1,0.17837,NaN,1,38
1,0.72889,9,30,1,1,0.17093,NaN,1,15
1,0.58163,10,30,1,0,0.17093,NaN,2,26
1,0.7385,10,31,1,0,0.17093,NaN,1,28
1,0.65736,9,31,2,1,0.1635,NaN,1,75
0,0.81022,8,32,1,1,0.1635,NaN,1,59
0,0.6689,8,32,2,1,0.17093,NaN,1,61
1,0.65982,8,33,2,1,0.17837,NaN,2,58
1,0.83663,8,33,2,1,0.17837,NaN,2,73
1,0.74549,8,34,1,1,0.17837,NaN,2,43
1,0.72415,9,34,1,1,0.17093,NaN,1,1
1,0.70317,10,35,2,0,0.17093,NaN,1,38
1,0.70793,9,35,2,1,0.17093,NaN,1,13
1,0.6047,8,36,1,1,0.1635,NaN,2,35
1,0.67956,8,36,2,1,0.1635,NaN,2,60
1,0.77835,8,37,2,1,0.1635,NaN,2,6
1,0.8032,8,37,1,1,0.15607,NaN,2,66
1,0.74024,8,38,2,1,0.15607,NaN,2,62
1,0.91082,9,38,1,1,0.15607,NaN,1,44
1,0.88766,9,39,2,1,0.14864,NaN,1,59
1,0.7006,10,39,2,0,0.14864,NaN,1,65
1,1.0373,9,40,1,1,0.14864,NaN,1,39
1,0.83811,9,40,1,1,0.14121,NaN,1,72
1,0.84705,10,41,2,0,0.14121,NaN,1,20
