trial,RT,correct,response,interval,tPos,tGen,tCon1,tCon2,tNoi1,tNoi2,dPed,img
1,0.38567,1,1,1,1,1,0.25,0.25,0.60638,0.14805,0.45833,17
2,0.30132,1,2,2,4,2,0.25,0.25,0.26894,0.63561,0.36667,6
3,0.31908,1,2,2,2,1,0.15,0.15,0.14805,0.33238,0.18433,12
4,0.2666,1,2,2,2,2,0.15,0.15,0.14805,0.33238,0.18433,18
5,0.31635,1,2,2,3,1,0.4,0.4,0.43782,0.57632,0.1385,6
6,0.87192,0,2,1,4,2,0.25,0.25,0.63561,0.26894,0.36667,2
7,0.33963,1,1,1,4,2,0.4,0.4,0.71382,0.43782,0.276,17
8,0.31721,1,1,1,3,1,0.15,0.15,0.33238,0.14805,0.18433,18
9,0.26497,1,1,1,2,2,0.25,0.25,0.57632,0.43782,0.1385,5
10,0.45254,1,1,1,1,2,0.15,0.15,0.56055,0.14805,0.4125,6
11,0.42228,1,1,1,2,2,0.4,0.4,0.68144,0.26894,0.4125,1
12,0.66587,1,2,2,3,2,0.4,0.4,0.43782,0.71382,0.276,6
13,0.27754,1,2,2,1,2,0.25,0.25,0.26894,0.40744,0.1385,2
14,0.59127,0,1,2,2,2,0.15,0.15,0.43782,0.71382,0.276,7
15,0.5869,1,2,2,3,2,0.4,0.4,0.43782,0.75966,0.32183,15
16,0.90848,1,2,2,1,1,0.25,0.25,0.43782,0.75966,0.32183,19
17,0.51221,1,1,1,3,1,0.15,0.15,0.68144,0.26894,0.4125,13
18,0.30778,0,2,1,3,2,0.15,0.15,0.40744,0.26894,0.1385,10
19,0.4294,1,2,2,1,2,0.25,0.25,0.14805,0.28655,0.1385,14
20,0.33713,1,1,1,4,1,0.25,0.25,0.28655,0.14805,0.1385,16
21,0.42082,1,2,2,1,2,0.4,0.4,0.14805,0.56055,0.4125,19
22,0.60648,1,2,2,2,2,0.15,0.15,0.43782,0.75966,0.32183,14
23,0.48213,1,1,1,1,2,0.4,0.4,0.28655,0.14805,0.1385,6
24,0.43774,1,1,1,4,1,0.4,0.4,0.24071,0.14805,0.092667,10
25,0.31903,1,2,2,1,1,0.25,0.25,0.43782,0.57632,0.1385,10
26,0.41112,1,2,2,1,1,0.4,0.4,0.14805,0.56055,0.4125,20
27,0.37272,1,2,2,2,1,0.15,0.15,0.26894,0.45327,0.18433,7
28,0.69643,1,2,2,3,2,0.15,0.15,0.43782,0.71382,0.276,12
29,0.33208,1,1,1,4,2,0.4,0.4,0.45327,0.26894,0.18433,15
30,0.31774,1,1,1,4,2,0.25,0.25,0.45327,0.26894,0.18433,18
31,0.32133,0,2,1,2,1,0.15,0.15,0.53049,0.43782,0.092667,3
32,0.509,1,1,1,2,2,0.4,0.4,0.57632,0.43782,0.1385,15
33,0.28666,1,2,2,1,2,0.4,0.4,0.26894,0.68144,0.4125,3
34,0.34634,0,1,2,2,1,0.15,0.15,0.14805,0.24071,0.092667,12
