trial,RT,correct,response,interval,tPos,tGen,tCon1,tCon2,tNoi1,tNoi2,dPed,img
1,0.47137,1,1,1,1,2,0.53211,0.15,0.32082,0.32082,0.38211,5
2,0.47519,1,1,1,1,2,0.83569,0.4,0.32082,0.32082,0.43569,4
3,0.41453,1,2,2,4,2,0.15,0.53211,0.2227,0.2227,0.38211,4
4,0.33656,1,2,2,1,2,0.15,0.25433,0.43782,0.43782,0.10433,16
5,0.26018,1,2,2,4,2,0.15,0.25433,0.32082,0.32082,0.10433,16
6,0.27786,1,1,1,4,1,0.4552,0.25,0.43782,0.43782,0.2052,2
7,0.32953,1,2,2,2,2,0.4,0.63117,0.32082,0.32082,0.23117,11
8,0.36524,1,1,1,4,1,0.79741,0.25,0.43782,0.43782,0.54741,12
9,0.7589,1,2,2,3,2,0.25,0.79741,0.2227,0.2227,0.54741,11
10,0.6186,1,1,1,1,1,0.25433,0.15,0.2227,0.2227,0.10433,5
11,0.8139,0,1,2,3,1,0.25,0.4552,0.43782,0.43782,0.2052,7
12,0.68788,1,2,2,1,2,0.25,0.79741,0.43782,0.43782,0.54741,13
13,0.87544,1,1,1,1,1,0.53211,0.15,0.43782,0.43782,0.38211,14
14,0.74096,1,2,2,2,2,0.25,0.5236,0.2227,0.2227,0.2736,10
15,0.53672,1,2,2,2,2,0.15,0.21955,0.32082,0.32082,0.069554,8
16,0.66037,1,2,2,2,2,0.4,0.83569,0.2227,0.2227,0.43569,6
17,0.80611,1,1,1,3,2,0.21955,0.15,0.2227,0.2227,0.069554,19
18,0.51382,0,2,1,2,2,0.5236,0.25,0.32082,0.32082,0.2736,10
19,0.5575,1,2,2,4,2,0.4,0.63117,0.2227,0.2227,0.23117,15
20,0.29508,1,1,1,3,2,0.592,0.25,0.2227,0.2227,0.342,13
21,1.0508,1,2,2,4,2,0.15,0.40474,0.43782,0.43782,0.25474,20
22,0.63833,1,2,2,2,2,0.4,0.63117,0.2227,0.2227,0.23117,17
23,0.46398,1,1,1,3,1,0.83569,0.4,0.2227,0.2227,0.43569,12
24,1.0357,1,1,1,4,2,0.69046,0.4,0.32082,0.32082,0.29046,13
25,0.34134,1,1,1,2,1,0.592,0.25,0.2227,0.2227,0.342,10
26,0.37706,0,2,1,4,1,0.55411,0.4,0.32082,0.32082,0.15411,12
27,0.56467,1,1,1,4,2,0.21955,0.15,0.43782,0.43782,0.069554,5
28,0.40632,1,2,2,4,1,0.4,0.63117,0.2227,0.2227,0.23117,4
29,0.31407,1,1,1,3,2,0.592,0.25,0.32082,0.32082,0.342,14
30,1.0456,1,1,1,2,1,0.18478,0.15,0.2227,0.2227,0.034777,18
31,0.48733,1,2,2,4,2,0.15,0.18478,0.32082,0.32082,0.034777,7
32,0.50693,1,2,2,1,2,0.4,0.63117,0.43782,0.43782,0.23117,3
33,0.45263,1,1,1,2,1,0.5236,0.25,0.43782,0.43782,0.2736,20
34,0.96029,1,2,2,4,1,0.25,0.61494,0.2227,0.2227,0.36494,16
35,0.46787,1,2,2,4,2,0.4,0.63117,0.43782,0.43782,0.23117,17
36,0.28549,0,2,1,1,1,0.59264,0.4,0.32082,0.32082,0.19264,6
37,1.3213,0,1,2,1,2,0.15,0.40474,0.32082,0.32082,0.25474,11
38,0.34885,1,1,1,2,1,0.5236,0.25,0.2227,0.2227,0.2736,3
39,0.38235,1,2,2,4,1,0.4,0.63117,0.43782,0.43782,0.23117,14
40,0.63429,1,2,2,3,1,0.15,0.53211,0.43782,0.43782,0.38211,15
41,1.2059,0,2,1,2,1,0.69046,0.4,0.32082,0.32082,0.29046,15
42,0.63957,1,2,2,3,2,0.15,0.53211,0.2227,0.2227,0.38211,16
43,0.96325,0,2,1,3,1,0.61494,0.25,0.32082,0.32082,0.36494,18
44,0.42094,1,2,2,4,2,0.25,0.79741,0.2227,0.2227,0.54741,17
45,1.0325,1,2,2,2,2,0.4,0.63117,0.2227,0.2227,0.23117,4
46,0.43617,1,1,1,3,1,0.83569,0.4,0.43782,0.43782,0.43569,14
47,0.70985,1,1,1,3,2,0.63117,0.4,0.32082,0.32082,0.23117,5
48,NaN,0,NaN,2,4,2,0.4,0.83569,0.2227,0.2227,0.43569,7
49,0.52495,1,2,2,2,2,0.25,0.79741,0.32082,0.32082,0.54741,12
50,0.3187,0,2,1,4,2,0.18478,0.15,0.2227,0.2227,0.034777,6
51,0.38643,1,2,2,1,2,0.25,0.79741,0.2227,0.2227,0.54741,3
52,0.29391,1,1,1,3,2,0.83569,0.4,0.43782,0.43782,0.43569,14
53,0.42386,0,2,1,1,2,0.6119,0.4,0.43782,0.43782,0.2119,19
54,0.42738,1,2,2,2,2,0.25,0.70617,0.32082,0.32082,0.45617,15
55,0.4611,1,1,1,3,1,0.83569,0.4,0.32082,0.32082,0.43569,3
56,1.0407,1,1,1,4,1,0.53211,0.15,0.43782,0.43782,0.38211,13
57,0.40439,1,2,2,1,2,0.25,0.5236,0.43782,0.43782,0.2736,7
58,1.2061,0,2,1,4,2,0.46842,0.15,0.2227,0.2227,0.31842,11
59,0.8097,0,1,2,1,2,0.25,0.4894,0.32082,0.32082,0.2394,12
60,0.46128,0,2,1,4,2,0.21955,0.15,0.32082,0.32082,0.069554,11
61,0.27906,0,2,1,4,2,0.5236,0.25,0.32082,0.32082,0.2736,19
62,0.84273,0,2,1,4,2,0.70617,0.25,0.32082,0.32082,0.45617,20
63,0.36625,1,1,1,3,1,0.76307,0.4,0.2227,0.2227,0.36307,16
64,0.87195,0,2,1,4,1,0.15,NaN,0.14805,NaN,0.38211,16
65,0.30723,1,1,1,4,1,0.1,NaN,0.43782,NaN,0.086943,17
66,0.74127,1,2,2,3,1,0.4,NaN,0.43782,NaN,0.36307,18
67,0.38493,1,2,2,1,2,0.15,0.25433,0.43782,0.43782,0.54741,13
68,0.44465,1,2,2,4,2,0.15,0.25433,0.32082,0.32082,0.54741,5
69,0.37432,1,1,1,2,2,0.25,NaN,0.14805,NaN,0.41395,17
70,0.40185,1,1,1,1,1,0.15,NaN,0.56218,NaN,0.41395,2
71,0.54169,0,1,2,3,2,0.15,NaN,0.32082,NaN,0.086943,19
72,0.3673,0,1,2,3,1,0.25,0.79741,0.2227,0.2227,0.36307,11
