correct,RT,response,mainTrial,position,respond,SOA,sOnset,tGen,tImg
1,0.6407,8,1,2,1,0.16373,NaN,2,61
1,0.79559,8,1,1,1,0.16373,NaN,2,58
1,0.67032,8,1,1,1,0.16373,NaN,2,67
1,0.90918,8,2,1,1,0.10915,NaN,2,9
1,0.76197,8,2,2,1,0.10915,NaN,2,25
0,0.68078,8,3,2,1,0.10915,NaN,1,7
1,0.66568,8,3,1,1,0.16373,NaN,2,4
0,0.88854,8,4,2,1,0.16373,NaN,1,13
0,0.71936,9,4,1,1,0.19102,NaN,2,71
1,0.55622,8,5,2,1,0.21831,NaN,2,68
1,0.62898,8,5,2,1,0.21831,NaN,2,70
0,0.92983,9,6,1,1,0.21831,NaN,2,47
1,0.52276,8,6,1,1,0.2456,NaN,2,38
1,0.57156,9,7,1,1,0.2456,NaN,1,66
1,0.79821,9,7,2,1,0.2456,NaN,1,37
1,0.84519,10,8,1,0,0.21831,NaN,1,24
1,0.82204,8,8,1,1,0.21831,NaN,2,66
1,0.61682,10,9,1,0,0.21831,NaN,1,43
0,0.66908,8,9,2,1,0.19102,NaN,1,70
1,0.66054,9,10,1,1,0.21831,NaN,1,51
1,0.72875,8,10,2,1,0.21831,NaN,2,55
1,0.8462,8,11,2,1,0.21831,NaN,2,22
1,0.65488,10,11,2,0,0.20466,NaN,2,37
1,0.68186,9,12,1,1,0.20466,NaN,1,26
1,0.69455,8,12,2,1,0.20466,NaN,2,24
1,0.82335,10,13,1,0,0.19102,NaN,1,74
1,0.51026,9,13,1,1,0.19102,NaN,1,32
0,0.62103,9,14,1,1,0.19102,NaN,2,44
1,0.57182,10,14,2,0,0.20466,NaN,2,19
1,0.67816,9,15,1,1,0.20466,NaN,1,70
0,0.63357,9,15,1,1,0.20466,NaN,2,11
1,0.72833,8,16,2,1,0.21831,NaN,2,12
1,0.83115,8,16,1,1,0.21831,NaN,2,63
1,0.51408,10,17,2,0,0.21831,NaN,2,67
1,0.69475,9,17,2,1,0.20466,NaN,1,74
0,0.81378,9,18,1,1,0.20466,NaN,2,38
1,0.7625,8,18,1,1,0.21831,NaN,2,67
1,0.68345,9,19,2,1,0.21831,NaN,1,35
1,0.63415,9,19,2,1,0.21831,NaN,1,12
1,0.70507,9,20,1,1,0.21149,NaN,1,68
1,0.72191,8,20,2,1,0.21149,NaN,2,56
0,0.62233,9,21,1,1,0.21149,NaN,2,53
1,0.70352,10,21,2,0,0.21831,NaN,1,54
1,0.8924,9,22,2,1,0.21831,NaN,1,5
1,1.0711,9,22,2,1,0.21831,NaN,1,41
1,0.60588,10,23,2,0,0.21149,NaN,2,29
0,0.72278,9,23,1,1,0.21149,NaN,2,58
1,0.62372,8,24,1,1,0.21831,NaN,2,13
1,0.59845,9,24,1,1,0.21831,NaN,1,73
