trial,RT,correct,response,interval,tPos,tGen,tCon1,tCon2,tNoi1,tNoi2,dPed,img
1,0.35384,1,2,2,4,2,0.4,0.72083,0.43782,0.43782,0.32083,20
2,0.29374,1,1,1,3,2,0.525,0.25,0.2227,0.2227,0.275,17
3,0.34323,1,1,1,2,2,0.675,0.4,0.32082,0.32082,0.275,18
4,0.72286,1,2,2,4,1,0.15,0.51667,0.2227,0.2227,0.36667,17
5,0.75047,0,2,1,4,1,0.75417,0.25,0.2227,0.2227,0.50417,14
6,0.40807,1,1,1,4,2,0.675,0.4,0.2227,0.2227,0.275,7
7,0.44374,1,1,1,3,1,0.675,0.4,0.32082,0.32082,0.275,16
8,0.39741,1,2,2,3,2,0.15,0.51667,0.32082,0.32082,0.36667,9
9,0.49711,1,1,1,4,1,0.525,0.25,0.2227,0.2227,0.275,2
10,0.48483,1,1,1,2,1,0.8,0.25,0.2227,0.2227,0.55,9
11,0.46242,1,1,1,2,1,0.8,0.25,0.2227,0.2227,0.55,9
12,0.36214,1,1,1,3,2,0.62917,0.4,0.2227,0.2227,0.22917,13
13,1.0058,0,2,1,2,1,0.47083,0.15,0.2227,0.2227,0.32083,10
14,0.46342,1,2,2,1,2,0.4,0.85833,0.43782,0.43782,0.45833,1
15,0.27503,1,2,2,1,2,0.15,0.33433,0.43782,0.43782,0.18433,2
16,0.41447,1,1,1,4,2,0.525,0.25,0.2227,0.2227,0.275,6
17,0.84833,1,1,1,4,2,0.62917,0.4,0.2227,0.2227,0.22917,18
18,0.29995,1,1,1,3,1,0.33433,0.15,0.32082,0.32082,0.18433,12
19,0.31769,1,2,2,2,2,0.15,0.2885,0.32082,0.32082,0.1385,4
20,0.24928,1,1,1,4,1,0.50208,0.25,0.43782,0.43782,0.25208,11
21,1.0289,1,2,2,2,2,0.25,0.8,0.43782,0.43782,0.55,11
22,0.7986,0,2,1,4,1,0.77708,0.25,0.2227,0.2227,0.52708,13
23,0.42631,1,2,2,3,2,0.25,0.8,0.32082,0.32082,0.55,18
24,0.44569,1,1,1,2,1,0.85833,0.4,0.32082,0.32082,0.45833,8
25,0.39158,1,2,2,4,1,0.25,0.8,0.32082,0.32082,0.55,18
26,0.45918,1,1,1,1,1,0.2885,0.15,0.43782,0.43782,0.1385,8
27,0.3489,1,1,1,3,1,0.2885,0.15,0.43782,0.43782,0.1385,9
28,0.32859,0,2,1,1,1,0.51667,0.15,0.43782,0.43782,0.36667,3
29,0.49216,0,2,1,3,1,0.62917,0.4,0.43782,0.43782,0.22917,15
30,0.65385,0,1,2,1,1,0.4,0.8125,0.43782,0.43782,0.4125,14
31,1.0095,0,2,1,3,2,0.53958,0.15,0.32082,0.32082,0.38958,1
32,0.33325,1,2,2,3,1,0.25,0.50208,0.2227,0.2227,0.25208,16
33,0.54286,1,1,1,3,1,0.85833,0.4,0.2227,0.2227,0.45833,20
34,0.91446,1,1,1,3,2,0.8,0.25,0.43782,0.43782,0.55,16
35,0.18209,1,1,1,3,2,0.24267,0.15,0.32082,0.32082,0.092667,3
36,0.36774,1,2,2,3,2,0.25,0.50208,0.43782,0.43782,0.25208,19
37,0.3875,1,2,2,2,2,0.15,0.24267,0.2227,0.2227,0.092667,14
38,0.38907,1,2,2,3,2,0.4,0.85833,0.2227,0.2227,0.45833,5
39,0.50477,1,2,2,4,2,0.25,0.47917,0.32082,0.32082,0.22917,8
40,0.73246,1,1,1,2,2,0.47917,0.25,0.43782,0.43782,0.22917,14
41,0.91001,1,2,2,2,2,0.15,0.5625,0.43782,0.43782,0.4125,7
42,0.71367,1,2,2,4,1,0.15,0.24267,0.43782,0.43782,0.092667,16
43,1.2454,1,2,2,1,1,0.15,0.5625,0.32082,0.32082,0.4125,17
44,0.3189,1,1,1,1,1,0.19683,0.15,0.32082,0.32082,0.046833,7
45,0.47471,1,1,1,4,1,0.85833,0.4,0.43782,0.43782,0.45833,15
46,0.5661,1,2,2,2,2,0.15,0.5625,0.2227,0.2227,0.4125,8
47,0.63205,0,1,2,3,2,0.15,0.19683,0.2227,0.2227,0.046833,16
48,0.62763,1,1,1,4,1,0.675,0.4,0.43782,0.43782,0.275,15
49,0.90104,0,2,1,1,1,0.53958,0.15,0.2227,0.2227,0.38958,4
50,0.32102,1,2,2,3,2,0.4,0.675,0.43782,0.43782,0.275,7
51,0.49264,1,1,1,1,2,0.5625,0.15,0.43782,0.43782,0.4125,18
52,0.73438,1,2,2,2,2,0.15,0.5625,0.43782,0.43782,0.4125,6
53,0.30595,1,1,1,3,1,0.47917,0.25,0.43782,0.43782,0.22917,2
54,0.46135,0,2,1,1,1,0.675,0.4,0.32082,0.32082,0.275,16
55,0.68734,1,1,1,2,2,0.45625,0.25,0.32082,0.32082,0.20625,15
56,0.38687,1,1,1,2,2,0.5625,0.15,0.32082,0.32082,0.4125,15
57,0.39048,0,2,1,4,1,0.69792,0.4,0.2227,0.2227,0.29792,15
58,0.35212,1,2,2,4,1,0.25,0.77708,0.43782,0.43782,0.52708,1
59,0.43589,1,1,1,2,1,0.24267,0.15,0.2227,0.2227,0.092667,1
60,0.42158,1,2,2,2,2,0.25,0.45625,0.32082,0.32082,0.20625,17
61,0.38519,1,1,1,1,2,0.83542,0.4,0.43782,0.43782,0.43542,16
62,0.24488,1,1,1,2,1,0.72083,0.4,0.32082,0.32082,0.32083,1
63,0.74255,1,1,1,2,2,0.83542,0.4,0.2227,0.2227,0.43542,4
64,0.33011,1,2,2,1,2,0.4,NaN,0.14805,NaN,0.20625,2
65,0.45388,1,2,2,1,1,0.6,NaN,0.32082,NaN,0.43542,19
66,0.48753,1,2,2,3,2,0.6,NaN,0.2227,NaN,0.092667,9
67,0.89909,0,2,1,1,1,0.15,NaN,0.43782,NaN,0.4125,11
68,0.84484,0,2,1,3,1,0.4,NaN,0.43782,NaN,0.43542,2
69,0.29645,1,2,2,1,2,0.15,NaN,0.56218,NaN,0.45833,15
70,0.39609,1,1,1,4,1,0.1,NaN,0.2227,NaN,0.52708,14
71,0.42177,1,1,1,1,1,0.1,NaN,0.2227,NaN,0.52708,11
72,0.42536,1,1,1,4,2,0.525,0.25,0.2227,0.2227,0.50417,2
