correct,RT,response,mainTrial,position,respond,SOA,sOnset,tGen,tImg
0,0.61211,10,1,2,1,0.25,NaN,2,29
1,0.72283,8,1,2,1,0.25,NaN,2,62
1,0.76364,9,1,2,1,0.25,NaN,1,14
0,0.81057,8,2,1,1,0.25,NaN,1,61
0,0.78537,8,2,1,1,0.25,NaN,1,65
1,0.86012,8,3,2,1,0.25,NaN,2,43
1,0.621,10,3,2,0,0.25,NaN,1,7
1,0.88772,8,4,1,1,0.25,NaN,2,15
1,0.67859,8,4,2,1,0.16667,NaN,2,54
0,0.8294,9,5,2,1,0.16667,NaN,2,6
1,0.66622,8,5,2,1,0.20833,NaN,2,61
1,0.77517,9,6,2,1,0.20833,NaN,1,13
1,0.73994,10,6,1,0,0.20833,NaN,2,8
1,0.79682,9,7,1,1,0.16667,NaN,1,60
1,0.70559,8,7,1,1,0.16667,NaN,2,68
1,0.72435,9,8,2,1,0.16667,NaN,1,61
1,0.60525,10,8,2,0,0.14583,NaN,1,59
1,0.76996,10,9,1,0,0.14583,NaN,2,69
1,0.62684,8,9,2,1,0.14583,NaN,2,11
1,0.68778,10,10,1,0,0.125,NaN,1,26
0,0.96445,9,10,2,1,0.125,NaN,2,46
0,0.79305,8,11,2,1,0.14583,NaN,1,73
1,0.75819,9,11,1,1,0.16667,NaN,1,3
1,0.72714,8,12,1,1,0.16667,NaN,2,31
1,0.73188,8,12,1,1,0.16667,NaN,2,69
1,0.66878,9,13,2,1,0.14583,NaN,1,78
1,0.5756,10,13,2,0,0.14583,NaN,2,6
NaN,NaN,NaN,14,1,0,0.14583,NaN,1,55
1,0.66713,10,14,1,0,0.14583,NaN,2,40
1,0.95808,9,15,2,1,0.125,NaN,1,52
0,0.85077,8,15,1,1,0.125,NaN,1,17
0,0.74579,9,16,1,1,0.14583,NaN,2,40
1,0.68243,8,16,2,1,0.16667,NaN,2,35
1,0.75737,10,17,2,0,0.16667,NaN,2,4
1,0.53614,10,17,2,0,0.16667,NaN,1,37
1,0.78099,8,18,2,1,0.14583,NaN,2,37
1,0.8078,8,18,1,1,0.14583,NaN,2,2
1,0.9586,8,19,2,1,0.14583,NaN,2,36
1,0.7235,8,19,1,1,0.13542,NaN,2,29
0,0.77633,8,20,1,1,0.13542,NaN,1,63
1,0.77289,9,20,2,1,0.14583,NaN,1,45
1,0.49394,10,21,1,0,0.14583,NaN,1,45
1,0.95675,8,21,2,1,0.14583,NaN,2,46
0,0.7817,8,22,2,1,0.13542,NaN,1,56
0,0.78842,9,22,1,1,0.14583,NaN,2,14
1,0.56532,10,23,1,0,0.15625,NaN,2,46
1,0.90603,8,23,2,1,0.15625,NaN,2,47
0,0.82692,8,24,2,1,0.15625,NaN,1,63
1,0.8057,8,24,1,1,0.16667,NaN,2,25
1,0.84658,9,25,2,1,0.16667,NaN,1,52
1,0.74536,8,25,1,1,0.16667,NaN,2,47
1,0.76229,9,26,1,1,0.15625,NaN,1,38
1,0.82308,8,26,1,1,0.15625,NaN,2,35
1,0.75595,9,27,1,1,0.15625,NaN,1,61
0,0.66669,8,27,2,1,0.14583,NaN,1,29
1,0.56557,10,28,2,0,0.15625,NaN,2,25
1,0.76439,8,28,1,1,0.15625,NaN,2,33
1,0.83728,8,29,2,1,0.15625,NaN,2,41
1,0.82196,8,29,1,1,0.14583,NaN,2,28
1,0.5429,10,30,2,0,0.14583,NaN,1,23
1,0.73367,8,30,1,1,0.14583,NaN,2,55
1,0.67854,9,31,1,1,0.13542,NaN,1,2
1,0.67734,8,31,1,1,0.13542,NaN,2,58
0,0.69408,9,32,2,1,0.13542,NaN,2,28
1,0.80292,8,32,2,1,0.14583,NaN,2,54
1,0.67383,9,33,1,1,0.14583,NaN,1,56
0,0.92456,8,33,2,1,0.14583,NaN,1,15
1,0.6634,9,34,1,1,0.15625,NaN,1,44
1,0.72838,8,34,2,1,0.15625,NaN,2,69
1,0.89512,8,35,2,1,0.15625,NaN,2,34
1,0.61802,8,35,2,1,0.14583,NaN,2,10
1,0.70674,9,36,2,1,0.14583,NaN,1,51
1,0.79356,9,36,2,1,0.14583,NaN,1,10
1,0.8665,8,37,1,1,0.14062,NaN,2,2
1,0.81526,8,37,2,1,0.14062,NaN,2,41
1,0.68205,10,38,1,0,0.14062,NaN,2,7
1,0.74506,9,38,1,1,0.13542,NaN,1,18
1,0.71188,8,39,2,1,0.13542,NaN,2,59
1,0.76247,8,39,1,1,0.13542,NaN,2,21
1,0.74145,9,40,1,1,0.13021,NaN,1,18
1,0.69234,8,40,2,1,0.13021,NaN,2,48
1,0.73312,9,41,1,1,0.13021,NaN,1,33
1,0.75993,8,41,1,1,0.125,NaN,2,19
1,0.90667,10,42,2,0,0.125,NaN,1,58
1,0.72157,8,42,1,1,0.125,NaN,2,46
1,0.70642,9,43,2,1,0.11979,NaN,1,44
1,0.63113,9,43,1,1,0.11979,NaN,1,4
1,0.79002,8,44,1,1,0.11979,NaN,2,73
1,0.72888,10,44,1,0,0.11458,NaN,2,56
0,0.85371,9,45,2,1,0.11458,NaN,2,64
1,0.47465,10,45,1,0,0.11979,NaN,2,60
1,0.82537,9,46,2,1,0.11979,NaN,1,43
0,0.68613,9,46,2,1,0.11979,NaN,2,21
1,0.7791,8,47,2,1,0.125,NaN,2,71
1,0.64793,9,47,1,1,0.125,NaN,1,51
0,0.64472,8,48,2,1,0.125,NaN,1,49
0,0.7594,9,48,1,1,0.13021,NaN,2,59
1,0.68839,9,49,1,1,0.13542,NaN,1,18
1,0.56916,10,49,1,0,0.13542,NaN,2,59
1,0.942,9,50,1,1,0.13542,NaN,1,1
1,0.72074,10,50,2,0,0.13021,NaN,2,49
1,0.80361,9,51,1,1,0.13021,NaN,1,27
1,0.68055,9,51,1,1,0.13021,NaN,1,19
1,0.61541,10,52,1,0,0.125,NaN,2,30
