trial,RT,correct,response,interval,tPos,tGen,tCon1,tCon2,tNoi1,tNoi2,dPed,img,ped,pedRand,cues
1,1.0223,0,2,1,2,1,0.15,0.15,0.7027,0.2227,0.48,5,2,2,4
2,0.96998,1,1,1,3,1,0.15,0.15,0.7727,0.2227,0.55,7,2,2,4
3,0.71762,1,2,2,3,2,0.15,0.15,0.2227,0.7727,0.55,8,2,2,4
4,0.28737,1,2,2,2,2,0.4,0.4,0.32082,0.63892,0.3181,13,3,4,1
5,0.70693,0,1,2,1,1,0.15,0.15,0.32082,0.63892,0.3181,3,3,2,1
6,0.33464,1,1,1,4,2,0.25,0.25,0.74496,0.32082,0.42413,5,3,3,1
7,0.40032,1,2,2,3,2,0.4,0.4,0.43782,0.98782,0.55,8,4,4,4
8,0.49994,1,2,2,1,2,0.25,0.25,0.43782,0.98782,0.55,10,4,3,4
9,0.99735,1,2,2,2,1,0.25,0.25,0.2227,0.7727,0.55,15,2,3,4
10,0.31321,1,2,2,1,1,0.25,0.25,0.2227,0.54403,0.32133,17,2,3,1
11,0.40492,1,1,1,4,1,0.25,0.25,0.54403,0.2227,0.32133,3,2,3,1
12,0.24634,1,2,2,3,1,0.25,0.25,0.2227,0.54403,0.32133,6,2,3,1
13,0.93818,1,1,1,2,1,0.4,0.4,0.71326,0.32082,0.39244,16,3,4,4
14,0.57383,1,2,2,4,2,0.4,0.4,0.2227,0.43692,0.21422,4,2,4,1
15,0.32758,1,1,1,4,1,0.4,0.4,0.43692,0.2227,0.21422,19,2,4,1
16,0.27522,1,1,1,2,1,0.25,0.25,0.74496,0.32082,0.42413,8,3,3,1
17,0.94085,0,2,1,1,2,0.25,0.25,0.6127,0.2227,0.39,15,2,3,4
18,0.3445,1,2,2,2,1,0.4,0.4,0.43782,0.63898,0.20116,5,4,4,1
19,0.97221,1,1,1,4,1,0.25,0.25,0.6927,0.2227,0.47,17,2,3,4
20,0.72554,1,1,1,3,2,0.4,0.4,0.71326,0.32082,0.39244,4,3,4,4
21,0.48146,1,2,2,4,2,0.15,0.15,0.43782,0.98782,0.55,15,4,2,4
22,1.0291,0,2,1,1,2,0.25,0.25,0.71326,0.32082,0.39244,13,3,3,4
23,0.60682,1,2,2,2,1,0.15,0.15,0.2227,0.43692,0.21422,5,2,2,1
24,0.38647,1,1,1,1,1,0.4,0.4,0.63898,0.43782,0.20116,13,4,4,1
25,0.80577,1,2,2,3,1,0.4,0.4,0.43782,0.80449,0.36667,6,4,4,4
26,0.53576,1,2,2,3,1,0.25,0.25,0.43782,0.80449,0.36667,9,4,3,4
27,0.24338,1,2,2,4,2,0.4,0.4,0.32082,0.84408,0.52325,15,3,4,4
28,0.285,1,2,2,1,1,0.4,0.4,0.43782,0.63898,0.20116,4,4,4,1
29,0.79279,1,1,1,1,2,0.15,0.15,0.84408,0.32082,0.52325,18,3,2,4
30,1.1564,1,1,1,2,2,0.15,0.15,0.80449,0.43782,0.36667,19,4,2,4
31,0.93407,0,2,1,3,1,0.4,0.4,0.62116,0.43782,0.18333,5,4,4,4
32,0.71373,1,2,2,4,1,0.15,0.15,0.32082,0.84408,0.52325,19,3,2,4
33,0.27732,1,1,1,4,2,0.4,0.4,0.32981,0.2227,0.10711,4,2,4,1
34,0.28696,1,2,2,4,1,0.25,0.25,0.43782,0.57193,0.1341,6,4,3,1
35,0.29067,1,1,1,2,2,0.25,0.25,0.80449,0.43782,0.36667,1,4,3,4
36,0.81425,1,2,2,3,2,0.25,0.25,0.32082,0.71326,0.39244,10,3,3,4
37,0.41603,1,2,2,1,2,0.25,0.25,0.32082,0.74496,0.42413,11,3,3,1
