trial,RT,correct,response,interval,tPos,tGen,tCon1,tCon2,tNoi1,tNoi2,dPed,img,ped,pedRand,cues
1,0.68141,1,1,1,3,2,0.15,0.15,0.62216,0.43782,0.18433,15,4,2,4
2,0.32309,1,2,2,1,2,0.15,0.15,0.43782,0.57532,0.1375,13,4,2,1
3,0.8627,0,2,1,4,2,0.4,0.4,0.57632,0.43782,0.1385,13,4,4,4
4,0.43435,1,2,2,2,2,0.15,0.15,0.43782,0.62216,0.18433,6,4,2,4
5,0.31603,1,2,2,4,1,0.15,0.15,0.26894,0.49911,0.23017,3,3,2,1
6,0.28761,1,1,1,3,1,0.4,0.4,0.52949,0.43782,0.091667,8,4,4,1
7,0.29735,1,2,2,3,2,0.4,0.4,0.14805,0.51571,0.36767,14,2,4,4
8,0.26892,0,1,2,2,2,0.15,0.15,0.14805,0.24071,0.092667,8,2,2,1
9,0.3126,1,1,1,1,2,0.4,0.4,0.62216,0.43782,0.18433,11,4,4,4
10,0.29023,1,1,1,4,1,0.4,0.4,0.33238,0.14805,0.18433,14,2,4,1
11,0.23793,0,2,1,1,2,0.25,0.25,0.52949,0.43782,0.091667,15,4,3,1
12,0.36153,1,1,1,4,2,0.4,0.4,0.57532,0.43782,0.1375,15,4,4,1
13,1.1152,1,1,1,1,1,0.15,0.15,0.62216,0.43782,0.18433,3,4,2,4
14,0.57491,1,1,1,2,2,0.15,0.15,0.45227,0.26894,0.18333,12,3,2,4
15,0.42662,1,2,2,4,2,0.15,0.15,0.26894,0.45227,0.18333,1,3,2,4
16,0.4282,1,2,2,3,1,0.25,0.25,0.26894,0.45227,0.18333,3,3,3,4
17,0.54381,1,2,2,4,1,0.25,0.25,0.14805,0.33238,0.18433,8,2,3,1
18,0.51355,0,1,2,1,2,0.4,0.4,0.26894,0.40644,0.1375,19,3,4,4
19,0.28522,1,2,2,1,2,0.4,0.4,0.26894,0.49911,0.23017,19,3,4,1
20,0.8569,1,1,1,2,2,0.15,0.15,0.46988,0.14805,0.32183,18,2,2,4
21,0.24239,1,1,1,4,1,0.4,0.4,0.57532,0.43782,0.1375,19,4,4,1
22,0.88616,1,2,2,3,2,0.4,0.4,0.26894,0.45227,0.18333,9,3,4,4
23,0.38582,0,1,2,4,2,0.25,0.25,0.43782,0.57532,0.1375,6,4,3,1
24,0.90751,1,2,2,2,1,0.25,0.25,0.14805,0.46988,0.32183,7,2,3,4
25,0.8631,1,1,1,1,1,0.4,0.4,0.46988,0.14805,0.32183,18,2,4,4
26,0.29679,1,2,2,1,1,0.4,0.4,0.14805,0.33238,0.18433,14,2,4,1
27,0.23644,1,2,2,3,1,0.15,0.15,0.26894,0.49911,0.23017,3,3,2,1
28,0.24806,1,1,1,4,2,0.15,0.15,0.45227,0.26894,0.18333,14,3,2,4
29,0.28164,1,1,1,3,2,0.4,0.4,0.62116,0.43782,0.18333,7,4,4,1
30,0.26145,1,1,1,1,1,0.25,0.25,0.62116,0.43782,0.18333,14,4,3,1
31,0.28105,1,1,1,3,1,0.25,0.25,0.45327,0.26894,0.18433,17,3,3,1
32,1.0268,1,2,2,3,1,0.25,0.25,0.14805,0.42405,0.276,15,2,3,4
33,0.39837,1,1,1,4,2,0.4,0.4,0.45227,0.26894,0.18333,17,3,4,4
34,0.38606,0,2,1,3,1,0.15,0.15,0.28655,0.14805,0.1385,20,2,2,1
35,0.80369,0,2,1,4,1,0.15,0.15,0.42405,0.14805,0.276,7,2,2,4
36,0.26333,1,1,1,2,2,0.25,0.25,0.33238,0.14805,0.18433,15,2,3,1
37,0.24901,1,2,2,3,2,0.4,0.4,0.14805,0.46988,0.32183,7,2,4,4
38,0.80463,1,2,2,3,1,0.25,0.25,0.26894,0.40644,0.1375,4,3,3,4
39,0.36034,1,2,2,2,2,0.15,0.15,0.14805,0.46988,0.32183,3,2,2,4
40,0.31396,1,2,2,2,1,0.4,0.4,0.14805,0.33238,0.18433,4,2,4,1
41,0.28569,1,2,2,3,2,0.15,0.15,0.14805,0.33238,0.18433,16,2,2,1
42,0.32935,1,2,2,2,1,0.4,0.4,0.14805,0.28655,0.1385,12,2,4,1
43,0.84303,1,2,2,1,2,0.4,0.4,0.43782,0.57632,0.1385,17,4,4,4
44,0.63856,1,2,2,3,1,0.4,0.4,0.43782,0.57632,0.1385,11,4,4,4
45,0.2662,1,2,2,2,1,0.4,0.4,0.26894,0.45327,0.18433,9,3,4,1
46,0.27596,1,1,1,1,1,0.15,0.15,0.62116,0.43782,0.18333,15,4,2,1
47,1.0555,1,1,1,1,1,0.15,0.15,0.40644,0.26894,0.1375,5,3,2,4
48,0.40124,0,1,2,3,1,0.15,0.15,0.14805,0.28655,0.1385,8,2,2,1
49,0.2769,1,2,2,1,2,0.25,0.25,0.26894,0.45327,0.18433,13,3,3,1
50,0.73649,0,1,2,2,2,0.25,0.25,0.43782,0.57532,0.1375,18,4,3,1
51,0.3062,1,1,1,4,1,0.25,0.25,0.33238,0.14805,0.18433,19,2,3,1
52,0.73384,0,2,1,2,2,0.25,0.25,0.57632,0.43782,0.1385,6,4,3,4
53,0.27354,1,1,1,1,2,0.25,0.25,0.40744,0.26894,0.1385,16,3,3,1
