trial,RT,correct,response,interval,tPos,tGen,tCon1,tCon2,tNoi1,tNoi2,dPed,img,ped,pedRand,cues
1,0.25756,1,2,2,1,2,0.15,0.7,0.43782,0.43782,0.55,5,2,4,1
2,0.26922,1,2,2,3,2,0.4,0.95,0.43782,0.43782,0.55,19,4,4,1
3,0.31076,1,2,2,3,1,0.15,0.7,0.26894,0.26894,0.55,3,2,3,4
4,0.27445,1,2,2,4,2,0.15,0.7,0.43782,0.43782,0.55,19,2,4,4
5,0.34009,1,2,2,1,2,0.15,0.7,0.43782,0.43782,0.55,6,2,4,1
6,0.30382,1,2,2,2,2,0.15,0.7,0.14805,0.14805,0.55,14,2,2,1
7,0.2994,1,1,1,2,2,0.8,0.25,0.14805,0.14805,0.55,15,3,2,4
8,0.4531,1,1,1,3,2,0.95,0.4,0.43782,0.43782,0.55,7,4,4,4
9,0.50479,1,1,1,1,1,0.8,0.25,0.14805,0.14805,0.55,10,3,2,1
10,0.46035,1,2,2,2,1,0.4,0.95,0.14805,0.14805,0.55,19,4,2,4
11,0.30999,1,1,1,1,1,0.8,0.25,0.43782,0.43782,0.55,14,3,4,1
12,0.74565,1,1,1,4,1,0.7,0.15,0.14805,0.14805,0.55,8,2,2,4
13,0.34139,1,1,1,3,1,0.95,0.4,0.26894,0.26894,0.55,13,4,3,4
14,0.34303,1,2,2,1,1,0.25,0.8,0.26894,0.26894,0.55,13,3,3,4
15,0.38671,1,1,1,4,2,0.51667,0.15,0.26894,0.26894,0.36667,14,2,3,1
16,0.30027,1,1,1,2,2,0.8,0.25,0.14805,0.14805,0.55,18,3,2,1
17,0.384,1,1,1,1,1,0.51667,0.15,0.14805,0.14805,0.36667,10,2,2,4
18,0.2996,1,2,2,3,2,0.25,0.61667,0.26894,0.26894,0.36667,19,3,3,1
19,0.25312,1,1,1,4,2,0.95,0.4,0.14805,0.14805,0.55,9,4,2,1
20,0.72101,1,1,1,4,1,0.76667,0.4,0.14805,0.14805,0.36667,7,4,2,4
21,0.77257,1,1,1,2,2,0.51667,0.15,0.43782,0.43782,0.36667,15,2,4,4
22,0.37436,1,1,1,1,1,0.51667,0.15,0.14805,0.14805,0.36667,3,2,2,4
23,0.5219,1,2,2,2,2,0.25,0.61667,0.43782,0.43782,0.36667,9,3,4,1
24,0.33359,1,1,1,3,1,0.8,0.25,0.26894,0.26894,0.55,6,3,3,4
25,0.43126,1,1,1,1,1,0.76667,0.4,0.43782,0.43782,0.36667,12,4,4,4
26,0.43495,1,1,1,1,2,0.33333,0.15,0.43782,0.43782,0.18333,5,2,4,4
27,0.75663,1,2,2,1,1,0.25,0.61667,0.43782,0.43782,0.36667,7,3,4,4
28,0.32825,1,2,2,2,1,0.4,0.95,0.43782,0.43782,0.55,7,4,4,1
